UID,title,start,end,trackUID,gather,zoom,info_link,category
pldi_array.0,Session 1,6-21-2021T09:00:00-04:00,06-21-2021T11:45:00-04:00,array,,,/track_array.html,colocated-session
pldi_array.1,Session 2,6-21-2021T13:30:00-04:00,06-21-2021T16:15:00-04:00,array,,,/track_array.html,colocated-session
pldi_array.2,Session 3,6-21-2021T18:00:00-04:00,06-21-2021T21:00:00-04:00,array,,,/track_array.html,colocated-session
pldi_hopl.0,Session 1,6-20-2021T09:00:00-04:00,06-20-2021T11:45:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.1,Session 2,6-20-2021T13:30:00-04:00,06-20-2021T16:15:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.2,Session 3,6-20-2021T16:45:00-04:00,06-20-2021T17:45:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.3,Session 4,6-20-2021T18:15:00-04:00,06-20-2021T21:00:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.4,Session 5,6-21-2021T09:00:00-04:00,06-21-2021T11:45:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.5,Session 6,6-21-2021T13:30:00-04:00,06-21-2021T16:15:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.6,Session 7,6-21-2021T16:45:00-04:00,06-21-2021T17:45:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.7,Session 8,6-21-2021T18:15:00-04:00,06-21-2021T21:00:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.8,Session 9,6-22-2021T09:00:00-04:00,06-22-2021T11:45:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.9,Session 10,6-22-2021T13:30:00-04:00,06-22-2021T16:15:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.10,Session 11,6-22-2021T16:45:00-04:00,06-22-2021T17:45:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_hopl.11,Session 12,6-22-2021T18:15:00-04:00,06-22-2021T21:00:00-04:00,hopl,,,/track_hopl.html,colocated-session
pldi_ismm.0,Session 1,6-22-2021T09:00:00-04:00,06-22-2021T11:45:00-04:00,ismm,,,/track_ismm.html,colocated-session
pldi_ismm.1,Session 2,6-22-2021T13:30:00-04:00,06-22-2021T16:15:00-04:00,ismm,,,/track_ismm.html,colocated-session
pldi_ismm.2,Session 3,6-22-2021T18:00:00-04:00,06-22-2021T21:00:00-04:00,ismm,,,/track_ismm.html,colocated-session
pldi_lctes.0,Session 1,6-22-2021T09:00:00-04:00,06-22-2021T11:45:00-04:00,lctes,,,/track_lctes.html,colocated-session
pldi_lctes.1,Session 2,6-22-2021T13:30:00-04:00,06-22-2021T16:15:00-04:00,lctes,,,/track_lctes.html,colocated-session
pldi_lctes.2,Session 3,6-22-2021T18:00:00-04:00,06-22-2021T21:00:00-04:00,lctes,,,/track_lctes.html,colocated-session
pldi_maps.0,Session 1,6-21-2021T09:00:00-04:00,06-21-2021T11:45:00-04:00,maps,,,/track_maps.html,colocated-session
pldi_maps.1,Session 2,6-21-2021T13:30:00-04:00,06-21-2021T16:15:00-04:00,maps,,,/track_maps.html,colocated-session
pldi_maps.2,Session 3,6-21-2021T18:00:00-04:00,06-21-2021T21:00:00-04:00,maps,,,/track_maps.html,colocated-session
pldi_plmw.0,Session 1,6-21-2021T09:00:00-04:00,06-21-2021T11:45:00-04:00,plmw,,,/track_plmw.html,colocated-session
pldi_plmw.1,Session 2,6-21-2021T13:30:00-04:00,06-21-2021T16:15:00-04:00,plmw,,,/track_plmw.html,colocated-session
pldi_plmw.2,Session 3,6-21-2021T18:00:00-04:00,06-21-2021T21:00:00-04:00,plmw,,,/track_plmw.html,colocated-session
pldi_plmw.3,Session 4,6-22-2021T09:00:00-04:00,06-22-2021T11:45:00-04:00,plmw,,,/track_plmw.html,colocated-session
pldi_plmw.4,Session 5,6-22-2021T13:30:00-04:00,06-22-2021T16:15:00-04:00,plmw,,,/track_plmw.html,colocated-session
pldi_plmw.5,Session 6,6-22-2021T18:00:00-04:00,06-22-2021T21:00:00-04:00,plmw,,,/track_plmw.html,colocated-session
pldi_soap.0,Session 1,6-22-2021T09:00:00-04:00,06-22-2021T11:45:00-04:00,soap,,,/track_soap.html,colocated-session
pldi_soap.1,Session 2,6-22-2021T13:30:00-04:00,06-22-2021T16:15:00-04:00,soap,,,/track_soap.html,colocated-session
pldi_soap.2,Session 3,6-22-2021T18:00:00-04:00,06-22-2021T21:00:00-04:00,soap,,,/track_soap.html,colocated-session
