event,start,end,title,authors,category,trackUID,gather,zoom,info_link
array,2021-06-21T14:30:00+00:00,2021-06-21T14:45:00+00:00,"Welcome and opening",Jeremy Gibbons,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/9/Welcome-and-opening
array,2021-06-21T14:45:00+00:00,2021-06-21T15:15:00+00:00,"Towards size-dependent types for array programming",Troels Henriksen|Martin Elsman,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/5/Towards-size-dependent-types-for-array-programming
array,2021-06-21T15:15:00+00:00,2021-06-21T15:45:00+00:00,"Padding in the Mathematics of Arrays",Benjamin Chetioui|Ole Abusdal|Magne Haveraaen|Jaakko Järvi|Lenore Mullin,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/2/Padding-in-the-Mathematics-of-Arrays
array,2021-06-21T17:30:00+00:00,2021-06-21T18:45:00+00:00,"Keynote: Tilting at Windmills with the Humble Array",Tim Mattson,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/8/Keynote-Tilting-at-Windmills-with-the-Humble-Array
array,2021-06-21T19:15:00+00:00,2021-06-21T19:45:00+00:00,"Array Languages Make Neural Networks Fast",Artjoms Šinkarovs|Hans-Nikolai Vießmann|Sven-Bodo Scholz,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/3/Array-Languages-Make-Neural-Networks-Fast
array,2021-06-21T19:45:00+00:00,2021-06-21T20:15:00+00:00,"Acceleration of Lattice Models for Pricing Portfolios of Fixed-Income Derivatives",Wojciech Michal Pawlak|Marek Hlava|Martin Metaksov|Cosmin Oancea,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/6/Acceleration-of-Lattice-Models-for-Pricing-Portfolios-of-Fixed-Income-Derivatives
array,2021-06-21T22:00:00+00:00,2021-06-21T22:25:00+00:00,"Improving the Performance of DGEMM with MoA and Cache-Blocking",Stephen Thomas|Lenore Mullin|Kasia Swirydowicz,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/4/Improving-the-Performance-of-DGEMM-with-MoA-and-Cache-Blocking
array,2021-06-21T22:25:00+00:00,2021-06-21T22:50:00+00:00,"Nested Object Support in a Structure-of-Arrays Dynamic Objector Allocator",Jizhe Chenxin|Hidehiko Masuhara,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/1/Nested-Object-Support-in-a-Structure-of-Arrays-Dynamic-Objector-Allocator
array,2021-06-21T22:50:00+00:00,2021-06-21T23:15:00+00:00,"Data Layouts are Important (Extended Abstract)",Doru Thom Popovici|Andrew Canning|Zhengji Zhao|Lin-Wang Wang|John Shalf,colocated,array,,,https://pldi21.sigplan.org/details/ARRAY-2021-papers/7/Data-Layouts-are-Important-Extended-Abstract-
